latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_ti5,frp,type
40.8167,-123.02605,297.8,0.39,0.59,2017-10-12,1058,N,VIIRS,n,1,273.8,2.4,0
40.81629,-123.03156,343.1,0.39,0.44,2017-10-12,2041,N,VIIRS,n,1,289.9,5.2,0
40.81969,-123.02136,313.3,0.45,0.47,2017-10-13,1039,N,VIIRS,n,1,276.2,1.1,0
40.8145,-123.01859,307.5,0.45,0.47,2017-10-13,1039,N,VIIRS,n,1,274.6,1.5,0
40.81576,-123.01503,336.3,0.47,0.64,2017-10-13,2202,N,VIIRS,n,1,287.9,12.5,0
40.81767,-123.01474,295.4,0.43,0.38,2017-10-14,1020,N,VIIRS,n,1,275.4,0.7,0
40.81962,-123.02978,328.8,0.39,0.36,2017-10-15,1002,N,VIIRS,n,1,281.9,2.7,0
40.81701,-123.03549,322.1,0.39,0.36,2017-10-15,1002,N,VIIRS,n,1,281,1.4,0
40.81631,-123.03071,302.2,0.39,0.36,2017-10-15,1002,N,VIIRS,n,1,280.4,1.4,0
40.81699,-123.03458,316.6,0.77,0.77,2017-10-16,1123,N,VIIRS,n,1,280.4,5.2,0
40.82005,-123.0314,314.6,0.77,0.78,2017-10-16,1123,N,VIIRS,n,1,281.3,2.6,0
40.81509,-123.03292,327.9,0.38,0.36,2017-10-16,2106,N,VIIRS,l,1,299.9,4.8,0
40.81566,-123.03577,334.1,0.5,0.41,2017-10-17,2047,N,VIIRS,n,1,297.7,9.8,0
40.81963,-123.02034,298.1,0.57,0.69,2017-10-18,0905,N,VIIRS,n,1,280.1,1.5,0
40.81586,-123.01176,330.4,0.54,0.51,2017-10-18,1045,N,VIIRS,n,1,281.2,2.5,0
40.82068,-123.03117,304.2,0.54,0.51,2017-10-18,1045,N,VIIRS,n,1,282.9,2.1,0
40.81727,-123.03746,314.6,0.54,0.51,2017-10-18,1045,N,VIIRS,n,1,283.7,3.7,0
40.81385,-123.0407,328.4,0.55,0.51,2017-10-18,2028,N,VIIRS,n,1,296.1,2.9,0
40.82436,-123.04105,297.4,0.49,0.4,2017-10-19,1027,N,VIIRS,n,1,282.6,1.5,0
40.8223,-123.03086,303.1,0.49,0.4,2017-10-19,1027,N,VIIRS,n,1,283.8,1.9,0
40.81758,-123.0268,309.5,0.49,0.4,2017-10-19,1027,N,VIIRS,n,1,282.6,2.4,0
40.81235,-123.03937,296.3,0.49,0.4,2017-10-19,1027,N,VIIRS,n,1,283.2,0.8,0
40.81814,-123.03818,315.4,0.49,0.4,2017-10-19,1027,N,VIIRS,n,1,284.2,2.6,0
40.81451,-123.03944,324.4,0.49,0.4,2017-10-19,1027,N,VIIRS,n,1,284.2,2.6,0
40.8452,-121.54443,327.5,0.56,0.69,2017-11-14,2202,N,VIIRS,n,1,281.2,5.1,0
40.83939,-122.87836,338.4,0.54,0.51,2017-10-30,2143,N,VIIRS,n,1,292.9,3.9,0
40.83889,-122.87447,303.8,0.39,0.36,2017-10-31,1002,N,VIIRS,n,1,283,1.2,0
40.80852,-121.5505,353.1,0.55,0.51,2017-11-14,2022,N,VIIRS,n,1,280.6,21.5,0
40.80003,-121.54621,326.2,0.57,0.69,2017-11-14,2202,N,VIIRS,n,1,279.9,4.4,0
40.79619,-121.52933,298.8,0.49,0.4,2017-12-01,1020,N,VIIRS,n,1,269,1.7,0
40.78788,-121.52659,305.2,0.49,0.4,2017-12-01,1020,N,VIIRS,n,1,269.2,1.1,0
40.76526,-121.53462,350.1,0.39,0.44,2018-01-11,2034,N,VIIRS,n,1,283.2,7,0
40.64889,-120.52898,330.4,0.52,0.67,2018-04-02,2155,N,VIIRS,n,1,290,4.1,0
40.71424,-121.02852,341.9,0.4,0.37,2017-11-17,2105,N,VIIRS,n,1,274,6.4,0
40.71515,-121.02544,307.4,0.51,0.49,2017-11-18,0924,N,VIIRS,n,1,267.9,2.1,0
40.36264,-120.40347,325.8,0.5,0.49,2018-01-01,2021,N,VIIRS,n,1,284.4,5.2,0
40.37699,-120.43407,325.1,0.42,0.37,2018-03-26,2046,N,VIIRS,n,1,292,2.2,0
39.95837,-120.036,330.9,0.39,0.36,2017-12-14,2059,N,VIIRS,n,1,279.7,4,0
39.79175,-120.0789,297.8,0.33,0.55,2018-01-11,0911,N,VIIRS,n,1,271.2,0.5,0
39.76924,-120.76183,295.3,0.48,0.48,2017-10-01,0924,N,VIIRS,n,1,277.8,0.7,0
39.76477,-120.76228,321.3,0.48,0.48,2017-10-01,0924,N,VIIRS,n,1,282.6,3.3,0
39.75582,-120.76322,303.9,0.48,0.48,2017-10-01,0924,N,VIIRS,n,1,278.8,2.6,0
39.76583,-120.76057,332.4,0.43,0.38,2017-10-01,2046,N,VIIRS,n,1,289.9,5,0
39.76311,-120.76008,296.4,0.43,0.62,2017-10-02,0905,N,VIIRS,n,1,273.5,0.8,0
39.7665,-120.75859,298.8,0.4,0.44,2017-10-06,0930,N,VIIRS,n,1,280.4,1,0
39.7624,-120.75909,305.8,0.4,0.44,2017-10-06,0930,N,VIIRS,n,1,280.8,1,0
39.76507,-120.76023,300.3,0.36,0.57,2017-10-07,0912,N,VIIRS,n,1,284.7,0.6,0
39.76594,-120.75861,331.9,0.57,0.43,2017-10-07,2034,N,VIIRS,n,1,293.6,7,0
39.76112,-120.76039,341.8,0.32,0.55,2017-10-08,2015,N,VIIRS,n,1,284,2.8,0
39.766,-120.75922,312.4,0.47,0.4,2017-10-09,1014,N,VIIRS,n,1,274.9,2.7,0
39.76247,-120.76056,324.9,0.47,0.4,2017-10-09,1014,N,VIIRS,n,1,275.6,2.7,0
39.76354,-120.76598,319.9,0.47,0.4,2017-10-09,1014,N,VIIRS,n,1,274.4,1.7,0
39.75891,-120.76182,321,0.47,0.4,2017-10-09,1014,N,VIIRS,n,1,274.8,1.8,0
39.75536,-120.76307,302,0.47,0.4,2017-10-09,1014,N,VIIRS,n,1,273,1.8,0
39.76208,-120.75493,347.8,0.56,0.69,2017-10-09,1956,N,VIIRS,n,1,285.5,11.4,0
39.75903,-120.75895,324.6,0.38,0.36,2017-10-10,0956,N,VIIRS,n,1,280.5,1,0
39.75574,-120.75978,297.5,0.38,0.36,2017-10-10,0956,N,VIIRS,n,1,274.7,1,0
39.7557,-120.75809,345.8,0.49,0.4,2017-10-10,2118,N,VIIRS,n,1,288.3,15,0
39.75275,-120.76096,328.1,0.38,0.36,2017-10-11,2059,N,VIIRS,n,1,286.1,3.3,0
39.77625,-120.62831,330.5,0.38,0.36,2017-10-11,2059,N,VIIRS,n,1,291.1,2.8,0
39.76326,-120.75893,325.4,0.38,0.36,2017-10-11,2059,N,VIIRS,n,1,289.9,8.2,0
39.75497,-120.75579,347.6,0.54,0.51,2017-10-13,2021,N,VIIRS,n,1,287.9,16.6,0
39.94497,-120.55449,339.5,0.52,0.5,2017-10-29,2021,N,VIIRS,n,1,299.9,12.8,0
39.94491,-120.54417,336.8,0.45,0.63,2017-10-30,2003,N,VIIRS,n,1,291,6.6,0
39.94865,-120.54621,357,0.35,0.57,2017-10-30,2143,N,VIIRS,n,1,290.9,9,0
39.94801,-120.5293,356.9,0.35,0.57,2017-10-30,2143,N,VIIRS,n,1,294,19.6,0
39.94732,-120.54258,347.1,0.35,0.57,2017-10-30,2143,N,VIIRS,n,1,290.9,9.5,0
39.94778,-120.5337,367,0.35,0.57,2017-10-30,2143,N,VIIRS,l,1,301.2,21.1,0
39.95311,-120.53321,352.3,0.35,0.57,2017-10-30,2143,N,VIIRS,n,1,289.5,21.1,0
39.95058,-120.53549,321.2,0.39,0.36,2017-10-31,1002,N,VIIRS,n,1,281.2,4.2,0
39.9463,-120.55116,313.3,0.39,0.36,2017-10-31,1002,N,VIIRS,n,1,278.3,2,0
39.944,-120.53745,314.5,0.39,0.36,2017-10-31,1002,N,VIIRS,n,1,279,1.6,0
39.94939,-120.53952,298.7,0.44,0.38,2017-11-01,0943,N,VIIRS,n,1,277.7,1.1,0
39.94716,-120.5502,307,0.44,0.38,2017-11-01,0943,N,VIIRS,n,1,279.2,1.2,0
39.94587,-120.54012,298,0.44,0.38,2017-11-01,0943,N,VIIRS,n,1,278.1,1.1,0
39.94522,-120.53511,295.7,0.44,0.38,2017-11-01,0943,N,VIIRS,n,1,277.4,1.1,0
39.95289,-120.54284,352.6,0.4,0.37,2017-11-01,2105,N,VIIRS,n,1,302,23.2,0
39.9569,-120.5388,342.8,0.4,0.37,2017-11-01,2105,N,VIIRS,n,1,316.2,53.5,0
